        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            Re{I[3][1]} (A),            Im{I[3][1]} (A),            Re{I[4][1]} (A),            Im{I[4][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A),            Re{I[3][2]} (A),            Im{I[3][2]} (A),            Re{I[4][2]} (A),            Im{I[4][2]} (A),            I_inc[3][3] (A),            Re{I[1][3]} (A),            Im{I[1][3]} (A),            Re{I[2][3]} (A),            Im{I[2][3]} (A),            Re{I[3][3]} (A),            Im{I[3][3]} (A),            Re{I[4][3]} (A),            Im{I[4][3]} (A),            I_inc[4][4] (A),            Re{I[1][4]} (A),            Im{I[1][4]} (A),            Re{I[2][4]} (A),            Im{I[2][4]} (A),            Re{I[3][4]} (A),            Im{I[3][4]} (A),            Re{I[4][4]} (A),            Im{I[4][4]} (A)
 1.00000000e+00,        +1.414213562373e-01,        +1.420925186357e-01,        +6.909481690523e-06,        +1.136278115564e-04,        +2.897982924094e-05,        +1.407400003408e-01,        -3.968503317531e-04,        -1.119149307103e-04,        +3.991794488572e-06,        +1.414213562373e-01,        +1.136278115897e-04,        +2.897982921651e-05,        +1.420913763084e-01,        +7.060650913935e-06,        -1.119154627299e-04,        +3.992298930198e-06,        +1.407407068192e-01,        -3.928923893250e-04,        +1.414213562373e-01,        +1.407400003408e-01,        -3.968503317545e-04,        -1.119154627633e-04,        +3.992298954136e-06,        +1.420929060675e-01,        +6.584257329672e-06,        +1.135757371869e-04,        +2.979969031084e-05,        +1.414213562373e-01,        -1.119149307757e-04,        +3.991794497630e-06,        +1.407407068192e-01,        -3.928923893245e-04,        +1.135757371226e-04,        +2.979969032066e-05,        +1.420917260835e-01,        +6.788140685599e-06
 6.00000000e+00,        +1.414213562373e-01,        +1.421254303878e-01,        -7.321881855170e-05,        +1.376873837236e-04,        +1.554109987356e-04,        +1.406135060268e-01,        -2.144208764846e-03,        -1.204384781139e-04,        +2.292117763696e-05,        +1.414213562373e-01,        +1.376873837277e-04,        +1.554109987343e-04,        +1.421217910039e-01,        -6.256465934576e-05,        -1.204799515189e-04,        +2.285392928548e-05,        +1.406151849272e-01,        -2.124647756210e-03,        +1.414213562373e-01,        +1.406135060268e-01,        -2.144208764846e-03,        -1.204799515230e-04,        +2.285392928757e-05,        +1.421399286148e-01,        -7.304905149103e-05,        +1.342561296052e-04,        +1.604682762385e-04,        +1.414213562373e-01,        -1.204384781094e-04,        +2.292117763429e-05,        +1.406151849272e-01,        -2.124647756208e-03,        +1.342561296098e-04,        +1.604682762351e-04,        +1.421351344081e-01,        -6.188830065413e-05
 1.10000000e+01,        +1.414213562373e-01,        +1.421555356382e-01,        -1.572611975330e-04,        +1.622070020568e-04,        +2.663315604576e-04,        +1.405066261090e-01,        -3.847240757876e-03,        -1.321144665468e-04,        +5.043810214522e-05,        +1.414213562373e-01,        +1.622070020534e-04,        +2.663315604548e-04,        +1.421523177331e-01,        -1.357747312955e-04,        -1.322311206984e-04,        +5.040287953788e-05,        +1.405096175473e-01,        -3.811643253742e-03,        +1.414213562373e-01,        +1.405066261090e-01,        -3.847240757876e-03,        -1.322311206951e-04,        +5.040287954066e-05,        +1.422017183181e-01,        -1.619563696010e-04,        +1.508377395499e-04,        +2.761007349841e-04,        +1.414213562373e-01,        -1.321144665507e-04,        +5.043810214191e-05,        +1.405096175473e-01,        -3.811643253742e-03,        +1.508377395460e-04,        +2.761007349808e-04,        +1.421951005754e-01,        -1.394364445824e-04
 1.60000000e+01,        +1.414213562373e-01,        +1.421847240292e-01,        -2.684179950289e-04,        +1.894861781679e-04,        +3.710609101199e-04,        +1.403847985577e-01,        -5.527913426699e-03,        -1.430069517848e-04,        +8.530316093913e-05,        +1.414213562373e-01,        +1.894861781677e-04,        +3.710609101186e-04,        +1.421831126538e-01,        -2.360104896690e-04,        -1.431892490536e-04,        +8.530914200963e-05,        +1.403896649340e-01,        -5.476691341465e-03,        +1.414213562373e-01,        +1.403847985577e-01,        -5.527913426699e-03,        -1.431892490534e-04,        +8.530914201080e-05,        +1.422775730547e-01,        -2.791102768786e-04,        +1.658361719404e-04,        +3.865800260841e-04,        +1.414213562373e-01,        -1.430069517858e-04,        +8.530316093809e-05,        +1.403896649340e-01,        -5.476691341465e-03,        +1.658361719394e-04,        +3.865800260832e-04,        +1.422689412334e-01,        -2.450101370073e-04
 2.10000000e+01,        +1.414213562373e-01,        +1.421977085470e-01,        -3.996969766571e-04,        +2.184633449718e-04,        +4.713245012757e-04,        +1.402512148959e-01,        -7.190818678746e-03,        -1.502976712262e-04,        +1.245436457846e-04,        +1.414213562373e-01,        +2.184633449725e-04,        +4.713245012786e-04,        +1.421988054365e-01,        -3.563536179643e-04,        -1.505597968203e-04,        +1.245858927279e-04,        +1.402582817113e-01,        -7.124262526225e-03,        +1.414213562373e-01,        +1.402512148959e-01,        -7.190818678746e-03,        -1.505597968212e-04,        +1.245858927251e-04,        +1.423539964523e-01,        -4.177462823078e-04,        +1.786939869016e-04,        +4.937744645600e-04,        +1.414213562373e-01,        -1.502976712260e-04,        +1.245436457867e-04,        +1.402582817113e-01,        -7.124262526225e-03,        +1.786939869021e-04,        +4.937744645620e-04,        +1.423431453276e-01,        -3.718065746207e-04
 2.60000000e+01,        +1.414213562373e-01,        +1.421906161965e-01,        -5.417921074176e-04,        +2.491414403045e-04,        +5.690384485455e-04,        +1.401070474172e-01,        -8.842609583605e-03,        -1.538370663303e-04,        +1.657718741715e-04,        +1.414213562373e-01,        +2.491414403064e-04,        +5.690384485469e-04,        +1.421954728372e-01,        -4.875981470568e-04,        -1.542025258484e-04,        +1.658500554450e-04,        +1.401166072475e-01,        -8.760882768987e-03,        +1.414213562373e-01,        +1.401070474172e-01,        -8.842609583605e-03,        -1.542025258505e-04,        +1.658500554437e-04,        +1.424275390271e-01,        -5.695836116377e-04,        +1.895761209639e-04,        +5.994939564000e-04,        +1.414213562373e-01,        -1.538370663299e-04,        +1.657718741725e-04,        +1.401166072475e-01,        -8.760882768987e-03,        +1.895761209645e-04,        +5.994939564009e-04,        +1.424142557399e-01,        -5.116086131922e-04
 3.10000000e+01,        +1.414213562373e-01,        +1.421640473522e-01,        -6.885642457197e-04,        +2.821400541908e-04,        +6.652187590166e-04,        +1.399509730307e-01,        -1.048782028518e-02,        -1.542124846503e-04,        +2.077421884878e-04,        +1.414213562373e-01,        +2.821400541894e-04,        +6.652187590156e-04,        +1.421736656941e-01,        -6.236732651345e-04,        -1.547069484282e-04,        +2.078615073248e-04,        +1.399633397289e-01,        -1.039102202303e-02,        +1.414213562373e-01,        +1.399509730307e-01,        -1.048782028518e-02,        -1.547069484270e-04,        +2.078615073259e-04,        +1.424987625559e-01,        -7.293826821266e-04,        +1.991136585855e-04,        +7.047419777180e-04,        +1.414213562373e-01,        -1.542124846505e-04,        +2.077421884887e-04,        +1.399633397289e-01,        -1.039102202303e-02,        +1.991136585857e-04,        +7.047419777189e-04,        +1.424828047827e-01,        -6.592106041027e-04
 3.60000000e+01,        +1.414213562373e-01,        +1.421196626129e-01,        -8.365419893060e-04,        +3.180522552341e-04,        +7.602286640853e-04,        +1.397811422274e-01,        -1.212882913913e-02,        -1.520054310923e-04,        +2.499101226363e-04,        +1.414213562373e-01,        +3.180522552346e-04,        +7.602286640858e-04,        +1.421350070565e-01,        -7.611530712705e-04,        -1.526540206669e-04,        +2.500800402390e-04,        +1.397966541099e-01,        -1.201703325660e-02,        +1.414213562373e-01,        +1.397811422274e-01,        -1.212882913913e-02,        -1.526540206676e-04,        +2.500800402385e-04,        +1.425691498347e-01,        -8.944318357260e-04,        +2.078868608207e-04,        +8.099531142889e-04,        +1.414213562373e-01,        -1.520054310918e-04,        +2.499101226351e-04,        +1.397966541099e-01,        -1.201703325660e-02,        +2.078868608214e-04,        +8.099531142876e-04,        +1.425502509751e-01,        -8.119064867641e-04
 4.10000000e+01,        +1.414213562373e-01,        +1.420590177153e-01,        -9.838120201241e-04,        +3.572932189287e-04,        +8.541111747582e-04,        +1.395959857933e-01,        -1.376670044454e-02,        -1.476332810198e-04,        +2.920622155484e-04,        +1.414213562373e-01,        +3.572932189275e-04,        +8.541111747594e-04,        +1.420810267599e-01,        -8.981599926435e-04,        -1.484596799073e-04,        +2.922953238069e-04,        +1.396149983792e-01,        -1.363997301174e-02,        +1.414213562373e-01,        +1.395959857933e-01,        -1.376670044454e-02,        -1.484596799062e-04,        +2.922953238061e-04,        +1.426400405340e-01,        -1.063489682550e-03,        +2.163093577701e-04,        +9.152869568561e-04,        +1.414213562373e-01,        -1.476332810225e-04,        +2.920622155473e-04,        +1.396149983792e-01,        -1.363997301174e-02,        +2.163093577673e-04,        +9.152869568547e-04,        +1.426179205966e-01,        -9.684468905794e-04
 4.60000000e+01,        +1.414213562373e-01,        +1.419833133038e-01,        -1.129261507662e-03,        +4.001209702678e-04,        +9.467756639453e-04,        +1.393943566197e-01,        -1.540182117218e-02,        -1.413673888560e-04,        +3.341225078661e-04,        +1.414213562373e-01,        +4.001209702686e-04,        +9.467756639431e-04,        +1.420129070665e-01,        -1.033613957730e-03,        -1.423936253232e-04,        +3.344337775925e-04,        +1.394172361447e-01,        -1.526022744382e-02,        +1.414213562373e-01,        +1.393943566197e-01,        -1.540182117218e-02,        -1.423936253240e-04,        +3.344337775948e-04,        +1.427124104194e-01,        -1.236064742117e-03,        +2.246540750245e-04,        +1.020790251936e-03,        +1.414213562373e-01,        -1.413673888562e-04,        +3.341225078669e-04,        +1.394172361447e-01,        -1.526022744382e-02,        +2.246540750245e-04,        +1.020790251937e-03,        +1.426867846678e-01,        -1.128327493888e-03
