"FREQ";"r xyce/I(PR2)";"i xyce/I(PR2)"
-1.5e+11;8.15879e-21;1.46448e-20
-1e+11;-6.5348e-21;3.03306e-20
-5e+10;-1.98267e-20;0.00025
0;-7.20495e-19;0
5e+10;-1.98267e-20;-0.00025
1e+11;-6.5348e-21;-3.03306e-20
1.5e+11;8.15879e-21;-1.46448e-20
-1.5e+11;2.53535e-20;4.16749e-20
-1e+11;-2.05374e-20;3.98265e-20
-5e+10;-3.29053e-20;0.000285714
0;-1.2613e-19;0
5e+10;-3.29053e-20;-0.000285714
1e+11;-2.05374e-20;-3.98265e-20
1.5e+11;2.53535e-20;-4.16749e-20
-1.5e+11;3.9697e-20;3.18093e-20
-1e+11;3.11027e-21;4.46909e-20
-5e+10;-3.49178e-20;0.000321429
0;4.2261e-19;0
5e+10;-3.49178e-20;-0.000321429
1e+11;3.11027e-21;-4.46909e-20
1.5e+11;3.9697e-20;-3.18093e-20
-1.5e+11;1.71161e-20;-8.97756e-21
-1e+11;1.57278e-20;2.68224e-20
-5e+10;-4.3256e-20;0.000357143
0;3.5674e-21;0
5e+10;-4.3256e-20;-0.000357143
1e+11;1.57278e-20;-2.68224e-20
1.5e+11;1.71161e-20;8.97756e-21
-1.5e+11;1.25195e-20;4.67186e-20
-1e+11;5.73012e-21;3.56723e-20
-5e+10;-3.19381e-20;0.000392857
0;-4.45879e-21;0
5e+10;-3.19381e-20;-0.000392857
1e+11;5.73012e-21;-3.56723e-20
1.5e+11;1.25195e-20;-4.67186e-20
-1.5e+11;-1.15285e-20;3.01929e-20
-1e+11;1.37146e-20;2.04945e-20
-5e+10;-2.34494e-20;0.000428571
0;-1.49193e-16;0
5e+10;-2.34494e-20;-0.000428571
1e+11;1.37146e-20;-2.04945e-20
1.5e+11;-1.15285e-20;-3.01929e-20
