"FREQ";"Y";"r xyce/I(PR3)";"i xyce/I(PR3)"
-1.5e+11;0.001;-2.00166e-06;1.48466e-06
-1e+11;0.001;1.65927e-06;2.68764e-05
-5e+10;0.001;-0.00242359;-0.00146322
0;0.001;-1.16944e-19;0
5e+10;0.001;-0.00242359;0.00146322
1e+11;0.001;1.65927e-06;-2.68764e-05
1.5e+11;0.001;-2.00166e-06;-1.48466e-06
-1.5e+11;0.00113793;-3.05731e-06;2.2617e-06
-1e+11;0.00113793;2.26789e-06;3.53833e-05
-5e+10;0.00113793;-0.00275604;-0.00166526
0;0.00113793;-5.64725e-21;0
5e+10;0.00113793;-0.00275604;0.00166526
1e+11;0.00113793;2.26789e-06;-3.53833e-05
1.5e+11;0.00113793;-3.05731e-06;-2.2617e-06
-1.5e+11;0.00127586;-4.50612e-06;3.31643e-06
-1e+11;0.00127586;2.9873e-06;4.54168e-05
-5e+10;0.00127586;-0.00308787;-0.00186793
0;0.00127586;-2.19959e-19;0
5e+10;0.00127586;-0.00308787;0.00186793
1e+11;0.00127586;2.9873e-06;-4.54168e-05
1.5e+11;0.00127586;-4.50612e-06;-3.31643e-06
-1.5e+11;0.00141379;-6.48586e-06;4.73651e-06
-1e+11;0.00141379;3.80499e-06;5.72413e-05
-5e+10;0.00141379;-0.00341895;-0.00207159
0;0.00141379;6.22563e-19;0
5e+10;0.00141379;-0.00341895;0.00207159
1e+11;0.00141379;3.80499e-06;-5.72413e-05
1.5e+11;0.00141379;-6.48586e-06;-4.73651e-06
-1.5e+11;0.00155172;-9.22143e-06;6.66231e-06
-1e+11;0.00155172;4.68986e-06;7.12637e-05
-5e+10;0.00155172;-0.00374906;-0.00227667
0;0.00155172;-2.00134e-19;0
5e+10;0.00155172;-0.00374906;0.00227667
1e+11;0.00155172;4.68986e-06;-7.12637e-05
1.5e+11;0.00155172;-9.22143e-06;-6.66231e-06
-1.5e+11;0.00168965;-1.31398e-05;9.35911e-06
-1e+11;0.00168965;5.57476e-06;8.81905e-05
-5e+10;0.00168965;-0.00407766;-0.00248372
0;0.00168965;-1.4277e-20;0
5e+10;0.00168965;-0.00407766;0.00248372
1e+11;0.00168965;5.57476e-06;-8.81905e-05
1.5e+11;0.00168965;-1.31398e-05;-9.35911e-06
-1.5e+11;0.00182759;-1.87076e-05;1.31089e-05
-1e+11;0.00182759;6.36709e-06;0.000108826
-5e+10;0.00182759;-0.00440413;-0.00269334
0;0.00182759;-2.55545e-19;0
5e+10;0.00182759;-0.00440413;0.00269334
1e+11;0.00182759;6.36709e-06;-0.000108826
1.5e+11;0.00182759;-1.87076e-05;-1.31089e-05
-1.5e+11;0.00196552;-2.60473e-05;1.79579e-05
-1e+11;0.00196552;6.98493e-06;0.000133587
-5e+10;0.00196552;-0.0047282;-0.00290599
0;0.00196552;-4.44362e-19;0
5e+10;0.00196552;-0.0047282;0.00290599
1e+11;0.00196552;6.98493e-06;-0.000133587
1.5e+11;0.00196552;-2.60473e-05;-1.79579e-05
-1.5e+11;0.00210345;-3.53837e-05;2.39919e-05
-1e+11;0.00210345;7.29047e-06;0.000163096
-5e+10;0.00210345;-0.0050493;-0.0031222
0;0.00210345;2.95792e-18;0
5e+10;0.00210345;-0.0050493;0.0031222
1e+11;0.00210345;7.29047e-06;-0.000163096
1.5e+11;0.00210345;-3.53837e-05;-2.39919e-05
-1.5e+11;0.00224138;-4.74039e-05;3.15407e-05
-1e+11;0.00224138;7.00104e-06;0.000198688
-5e+10;0.00224138;-0.00536609;-0.00334251
0;0.00224138;1.07447e-17;0
5e+10;0.00224138;-0.00536609;0.00334251
1e+11;0.00224138;7.00104e-06;-0.000198688
1.5e+11;0.00224138;-4.74039e-05;-3.15407e-05
-1.5e+11;0.00237931;-6.36059e-05;4.13543e-05
-1e+11;0.00237931;5.4653e-06;0.000242853
-5e+10;0.00237931;-0.00567512;-0.00356698
0;0.00237931;6.50097e-19;0
5e+10;0.00237931;-0.00567512;0.00356698
1e+11;0.00237931;5.4653e-06;-0.000242853
1.5e+11;0.00237931;-6.36059e-05;-4.13543e-05
-1.5e+11;0.00251724;-8.99453e-05;5.7036e-05
-1e+11;0.00251724;1.43199e-06;0.00030356
-5e+10;0.00251724;-0.00596587;-0.00379423
0;0.00251724;-5.44013e-19;0
5e+10;0.00251724;-0.00596587;0.00379423
1e+11;0.00251724;1.43199e-06;-0.00030356
1.5e+11;0.00251724;-8.99453e-05;-5.7036e-05
-1.5e+11;0.00265517;-0.000136255;8.45874e-05
