"FREQ";"Y";"r xyce/V(VIN)";"i xyce/V(VIN)"
-1.5e+11;0.001;1.44706e-05;2.62311e-05
-1e+11;0.001;-0.000275769;-0.000407411
-5e+10;0.001;0.0035622;0.0335955
0;0.001;1.31437;0
5e+10;0.001;0.0035622;-0.0335955
1e+11;0.001;-0.000275769;0.000407411
1.5e+11;0.001;1.44706e-05;-2.62311e-05
-1.5e+11;0.00113793;2.2232e-05;3.90085e-05
-1e+11;0.00113793;-0.000356098;-0.000531134
-5e+10;0.00113793;0.00404569;0.0382622
0;0.00113793;1.32327;0
5e+10;0.00113793;0.00404569;-0.0382622
1e+11;0.00113793;-0.000356098;0.000531134
1.5e+11;0.00113793;2.2232e-05;-3.90085e-05
-1.5e+11;0.00127586;3.2868e-05;5.55011e-05
-1e+11;0.00127586;-0.000445472;-0.000672959
-5e+10;0.00127586;0.00452607;0.0429523
0;0.00127586;1.32925;0
5e+10;0.00127586;0.00452607;-0.0429523
1e+11;0.00127586;-0.000445472;0.000672959
1.5e+11;0.00127586;3.2868e-05;-5.55011e-05
-1.5e+11;0.00141379;4.73162e-05;7.62804e-05
-1e+11;0.00141379;-0.000542797;-0.000833994
-5e+10;0.00141379;0.00500252;0.0476744
0;0.00141379;1.33777;0
5e+10;0.00141379;0.00500252;-0.0476744
1e+11;0.00141379;-0.000542797;0.000833994
1.5e+11;0.00141379;4.73162e-05;-7.62804e-05
-1.5e+11;0.00155172;6.70924e-05;0.000102078
-1e+11;0.00155172;-0.000646348;-0.00101598
-5e+10;0.00155172;0.00547353;0.0524388
0;0.00155172;1.34848;0
5e+10;0.00155172;0.00547353;-0.0524388
1e+11;0.00155172;-0.000646348;0.00101598
1.5e+11;0.00155172;6.70924e-05;-0.000102078
-1.5e+11;0.00168965;9.51201e-05;0.000134129
-1e+11;0.00168965;-0.000753124;-0.00122208
-5e+10;0.00168965;0.00593597;0.0572593
0;0.00168965;1.35638;0
5e+10;0.00168965;0.00593597;-0.0572593
1e+11;0.00168965;-0.000753124;0.00122208
1.5e+11;0.00168965;9.51201e-05;-0.000134129
-1.5e+11;0.00182759;0.000134369;0.000173579
-1e+11;0.00182759;-0.000859778;-0.00145583
-5e+10;0.00182759;0.00638614;0.0621509
0;0.00182759;1.36451;0
5e+10;0.00182759;0.00638614;-0.0621509
1e+11;0.00182759;-0.000859778;0.00145583
1.5e+11;0.00182759;0.000134369;-0.000173579
-1.5e+11;0.00196552;0.00018474;0.000219891
-1e+11;0.00196552;-0.000964838;-0.00171839
-5e+10;0.00196552;0.00682252;0.0671262
0;0.00196552;1.37513;0
5e+10;0.00196552;0.00682252;-0.0671262
1e+11;0.00196552;-0.000964838;0.00171839
1.5e+11;0.00196552;0.00018474;-0.000219891
-1.5e+11;0.00210345;0.000246057;0.000271716
-1e+11;0.00210345;-0.00106645;-0.00201167
-5e+10;0.00210345;0.00724237;0.0722003
0;0.00210345;1.38145;0
5e+10;0.00210345;0.00724237;-0.0722003
1e+11;0.00210345;-0.00106645;0.00201167
1.5e+11;0.00210345;0.000246057;-0.000271716
-1.5e+11;0.00224138;0.000319523;0.000327482
-1e+11;0.00224138;-0.00116075;-0.00233994
-5e+10;0.00224138;0.00763883;0.0773938
0;0.00224138;1.38847;0
5e+10;0.00224138;0.00763883;-0.0773938
1e+11;0.00224138;-0.00116075;0.00233994
1.5e+11;0.00224138;0.000319523;-0.000327482
-1.5e+11;0.00237931;0.000409902;0.000395195
-1e+11;0.00237931;-0.00123493;-0.00270737
-5e+10;0.00237931;0.00799302;0.0827267
0;0.00237931;1.40106;0
5e+10;0.00237931;0.00799302;-0.0827267
1e+11;0.00237931;-0.00123493;0.00270737
1.5e+11;0.00237931;0.000409902;-0.000395195
-1.5e+11;0.00251724;0.000545722;0.000515683
-1e+11;0.00251724;-0.00124904;-0.00312865
-5e+10;0.00251724;0.00825073;0.088219
0;0.00251724;1.40914;0
5e+10;0.00251724;0.00825073;-0.088219
1e+11;0.00251724;-0.00124904;0.00312865
1.5e+11;0.00251724;0.000545722;-0.000515683
-1.5e+11;0.00265517;0.000778503;0.000757599
-1e+11;0.00265517;-0.00114323;-0.00362909
-5e+10;0.00265517;0.00833116;0.0938833
0;0.00265517;1.41855;0
5e+10;0.00265517;0.00833116;-0.0938833
1e+11;0.00265517;-0.00114323;0.00362909
1.5e+11;0.00265517;0.000778503;-0.000757599
-1.5e+11;0.0027931;0.00110683;0.00112762
-1e+11;0.0027931;-0.000915302;-0.0042073
-5e+10;0.0027931;0.0082259;0.0997166
0;0.0027931;1.42747;0
5e+10;0.0027931;0.0082259;-0.0997166
1e+11;0.0027931;-0.000915302;0.0042073
1.5e+11;0.0027931;0.00110683;-0.00112762
-1.5e+11;0.00293103;0.00149109;0.00158788
-1e+11;0.00293103;-0.000598324;-0.00484272
-5e+10;0.00293103;0.00797104;0.105716
0;0.00293103;1.44167;0
5e+10;0.00293103;0.00797104;-0.105716
1e+11;0.00293103;-0.000598324;0.00484272
1.5e+11;0.00293103;0.00149109;-0.00158788
-1.5e+11;0.00306896;0.00188851;0.00210044
-1e+11;0.00306896;-0.000215165;-0.00550655
-5e+10;0.00306896;0.00758175;0.111869
0;0.00306896;1.45296;0
5e+10;0.00306896;0.00758175;-0.111869
1e+11;0.00306896;-0.000215165;0.00550655
1.5e+11;0.00306896;0.00188851;-0.00210044
-1.5e+11;0.0032069;0.0022222;0.00260151
-1e+11;0.0032069;0.000218173;-0.0061301
-5e+10;0.0032069;0.00703605;0.118098
0;0.0032069;1.46091;0
5e+10;0.0032069;0.00703605;-0.118098
1e+11;0.0032069;0.000218173;0.0061301
1.5e+11;0.0032069;0.0022222;-0.00260151
-1.5e+11;0.00334483;0.00240962;0.00301788
-1e+11;0.00334483;0.000687015;-0.00663757
-5e+10;0.00334483;0.00630788;0.124296
0;0.00334483;1.47019;0
5e+10;0.00334483;0.00630788;-0.124296
1e+11;0.00334483;0.000687015;0.00663757
1.5e+11;0.00334483;0.00240962;-0.00301788
-1.5e+11;0.00348276;0.00246549;0.00334748
-1e+11;0.00348276;0.00117946;-0.00705391
-5e+10;0.00348276;0.00542947;0.130467
0;0.00348276;1.48134;0
5e+10;0.00348276;0.00542947;-0.130467
1e+11;0.00348276;0.00117946;0.00705391
1.5e+11;0.00348276;0.00246549;-0.00334748
-1.5e+11;0.00362069;0.00242948;0.00360954
-1e+11;0.00362069;0.00168609;-0.00743805
-5e+10;0.00362069;0.00443886;0.136669
0;0.00362069;1.49178;0
5e+10;0.00362069;0.00443886;-0.136669
1e+11;0.00362069;0.00168609;0.00743805
1.5e+11;0.00362069;0.00242948;-0.00360954
-1.5e+11;0.00375862;0.00231918;0.00380744
-1e+11;0.00375862;0.00219734;-0.00783058
-5e+10;0.00375862;0.00335711;0.14294
0;0.00375862;1.49191;0
5e+10;0.00375862;0.00335711;-0.14294
1e+11;0.00375862;0.00219734;0.00783058
1.5e+11;0.00375862;0.00231918;-0.00380744
-1.5e+11;0.00389655;0.0021448;0.0039446
-1e+11;0.00389655;0.00270713;-0.00825147
-5e+10;0.00389655;0.00220129;0.149286
0;0.00389655;1.49172;0
5e+10;0.00389655;0.00220129;-0.149286
1e+11;0.00389655;0.00270713;0.00825147
1.5e+11;0.00389655;0.0021448;-0.0039446
-1.5e+11;0.00403448;0.00191907;0.00403333
-1e+11;0.00403448;0.00321413;-0.00870478
-5e+10;0.00403448;0.000990606;0.155692
0;0.00403448;1.49681;0
5e+10;0.00403448;0.000990606;-0.155692
1e+11;0.00403448;0.00321413;0.00870478
1.5e+11;0.00403448;0.00191907;-0.00403333
-1.5e+11;0.00417241;0.00165533;0.00408869
-1e+11;0.00417241;0.00371796;-0.00918828
-5e+10;0.00417241;-0.000255168;0.162137
0;0.00417241;1.51306;0
5e+10;0.00417241;-0.000255168;-0.162137
1e+11;0.00417241;0.00371796;0.00918828
1.5e+11;0.00417241;0.00165533;-0.00408869
-1.5e+11;0.00431034;0.00136516;0.00412341
-1e+11;0.00431034;0.00421619;-0.00969972
-5e+10;0.00431034;-0.00151637;0.168593
0;0.00431034;1.53149;0
5e+10;0.00431034;-0.00151637;-0.168593
1e+11;0.00431034;0.00421619;0.00969972
1.5e+11;0.00431034;0.00136516;-0.00412341
-1.5e+11;0.00444827;0.00105759;0.00414686
-1e+11;0.00444827;0.00470516;-0.010238
-5e+10;0.00444827;-0.00277565;0.175035
0;0.00444827;1.53738;0
5e+10;0.00444827;-0.00277565;-0.175035
1e+11;0.00444827;0.00470516;0.010238
1.5e+11;0.00444827;0.00105759;-0.00414686
-1.5e+11;0.00458621;0.000743882;0.00416896
-1e+11;0.00458621;0.00517212;-0.0108062
-5e+10;0.00458621;-0.00400241;0.18141
0;0.00458621;1.54722;0
5e+10;0.00458621;-0.00400241;-0.18141
1e+11;0.00458621;0.00517212;0.0108062
1.5e+11;0.00458621;0.000743882;-0.00416896
-1.5e+11;0.00472414;0.000431558;0.00419669
-1e+11;0.00472414;0.00560836;-0.0114068
-5e+10;0.00472414;-0.00517646;0.187684
0;0.00472414;1.55892;0
5e+10;0.00472414;-0.00517646;-0.187684
1e+11;0.00472414;0.00560836;0.0114068
1.5e+11;0.00472414;0.000431558;-0.00419669
-1.5e+11;0.00486207;0.000127163;0.00423643
-1e+11;0.00486207;0.00600444;-0.0120433
-5e+10;0.00486207;-0.00627913;0.19382
0;0.00486207;1.56913;0
5e+10;0.00486207;-0.00627913;-0.19382
1e+11;0.00486207;0.00600444;0.0120433
1.5e+11;0.00486207;0.000127163;-0.00423643
-1.5e+11;0.005;-0.000201669;0.00426431
-1e+11;0.005;0.00642627;-0.0126913
-5e+10;0.005;-0.00743008;0.200053
0;0.005;1.58235;0
5e+10;0.005;-0.00743008;-0.200053
1e+11;0.005;0.00642627;0.0126913
1.5e+11;0.005;-0.000201669;-0.00426431
