"FREQ";"Y";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-1.5e+11;0.001;-0.000100083;7.42328e-05
-1e+11;0.001;8.29633e-05;0.00134382
-5e+10;0.001;-0.12118;-0.0731609
0;0.001;-1.87914e-22;0
5e+10;0.001;-0.12118;0.0731609
1e+11;0.001;8.29633e-05;-0.00134382
1.5e+11;0.001;-0.000100083;-7.42328e-05
-1.5e+11;0.00113793;-0.000152866;0.000113085
-1e+11;0.00113793;0.000113395;0.00176916
-5e+10;0.00113793;-0.137802;-0.0832629
0;0.00113793;-2.41366e-19;0
5e+10;0.00113793;-0.137802;0.0832629
1e+11;0.00113793;0.000113395;-0.00176916
1.5e+11;0.00113793;-0.000152866;-0.000113085
-1.5e+11;0.00127586;-0.000225306;0.000165822
-1e+11;0.00127586;0.000149365;0.00227084
-5e+10;0.00127586;-0.154393;-0.0933965
0;0.00127586;1.7722e-26;0
5e+10;0.00127586;-0.154393;0.0933965
1e+11;0.00127586;0.000149365;-0.00227084
1.5e+11;0.00127586;-0.000225306;-0.000165822
-1.5e+11;0.00141379;-0.000324293;0.000236825
-1e+11;0.00141379;0.000190249;0.00286207
-5e+10;0.00141379;-0.170948;-0.10358
0;0.00141379;-4.721e-25;0
5e+10;0.00141379;-0.170948;0.10358
1e+11;0.00141379;0.000190249;-0.00286207
1.5e+11;0.00141379;-0.000324293;-0.000236825
-1.5e+11;0.00155172;-0.000461071;0.000333115
-1e+11;0.00155172;0.000234493;0.00356319
-5e+10;0.00155172;-0.187453;-0.113834
0;0.00155172;-7.51882e-23;0
5e+10;0.00155172;-0.187453;0.113834
1e+11;0.00155172;0.000234493;-0.00356319
1.5e+11;0.00155172;-0.000461071;-0.000333115
-1.5e+11;0.00168965;-0.000656992;0.000467955
-1e+11;0.00168965;0.000278738;0.00440952
-5e+10;0.00168965;-0.203883;-0.124186
0;0.00168965;-3.76337e-19;0
5e+10;0.00168965;-0.203883;0.124186
1e+11;0.00168965;0.000278738;-0.00440952
1.5e+11;0.00168965;-0.000656992;-0.000467955
-1.5e+11;0.00182759;-0.000935379;0.000655446
-1e+11;0.00182759;0.000318354;0.00544131
-5e+10;0.00182759;-0.220207;-0.134667
0;0.00182759;4.69877e-18;0
5e+10;0.00182759;-0.220207;0.134667
1e+11;0.00182759;0.000318354;-0.00544131
1.5e+11;0.00182759;-0.000935379;-0.000655446
-1.5e+11;0.00196552;-0.00130237;0.000897894
-1e+11;0.00196552;0.000349247;0.00667933
-5e+10;0.00196552;-0.23641;-0.1453
0;0.00196552;9.47601e-18;0
5e+10;0.00196552;-0.23641;0.1453
1e+11;0.00196552;0.000349247;-0.00667933
1.5e+11;0.00196552;-0.00130237;-0.000897894
-1.5e+11;0.00210345;-0.00176918;0.0011996
-1e+11;0.00210345;0.000364524;0.00815482
-5e+10;0.00210345;-0.252465;-0.15611
0;0.00210345;-9.13708e-18;0
5e+10;0.00210345;-0.252465;0.15611
1e+11;0.00210345;0.000364524;-0.00815482
1.5e+11;0.00210345;-0.00176918;-0.0011996
-1.5e+11;0.00224138;-0.00237019;0.00157703
-1e+11;0.00224138;0.000350052;0.00993441
-5e+10;0.00224138;-0.268304;-0.167126
0;0.00224138;-1.43246e-18;0
5e+10;0.00224138;-0.268304;0.167126
1e+11;0.00224138;0.000350052;-0.00993441
1.5e+11;0.00224138;-0.00237019;-0.00157703
-1.5e+11;0.00237931;-0.0031803;0.00206772
-1e+11;0.00237931;0.000273265;0.0121426
-5e+10;0.00237931;-0.283756;-0.178349
0;0.00237931;-3.11312e-17;0
5e+10;0.00237931;-0.283756;0.178349
1e+11;0.00237931;0.000273265;-0.0121426
1.5e+11;0.00237931;-0.0031803;-0.00206772
-1.5e+11;0.00251724;-0.00449726;0.0028518
-1e+11;0.00251724;7.15997e-05;0.015178
-5e+10;0.00251724;-0.298293;-0.189711
0;0.00251724;4.68535e-20;0
5e+10;0.00251724;-0.298293;0.189711
1e+11;0.00251724;7.15997e-05;-0.015178
1.5e+11;0.00251724;-0.00449726;-0.0028518
-1.5e+11;0.00265517;-0.00681273;0.00422937
-1e+11;0.00265517;-0.000349482;0.0196537
-5e+10;0.00265517;-0.311128;-0.20107
0;0.00265517;-1.92416e-15;0
5e+10;0.00265517;-0.311128;0.20107
1e+11;0.00265517;-0.000349482;-0.0196537
1.5e+11;0.00265517;-0.00681273;-0.00422937
-1.5e+11;0.0027931;-0.010073;0.0061461
