        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J),              E_elec[3] (J),               E_mag[3] (J),               E_cap[3] (J),               E_ind[3] (J),              E_elec[4] (J),               E_mag[4] (J),               E_cap[4] (J),               E_ind[4] (J)
 1.00000000e+00,        +2.193438534211e-13,        +2.139198416387e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.170466671768e-13,        +2.120117183491e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.196842945598e-13,        +2.138965876768e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.173273893096e-13,        +2.119868429674e-13,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +2.081962515942e-13,        +1.821833400847e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.053791758087e-13,        +1.815923279768e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.079436841115e-13,        +1.812908275557e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.050468648324e-13,        +1.806913894182e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.10000000e+01,        +2.050013310154e-13,        +1.774017653071e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.021012308065e-13,        +1.769143135789e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.051015925818e-13,        +1.765391652616e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.021075389333e-13,        +1.760494800691e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+01,        +2.039898424938e-13,        +1.742479405474e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.010692710910e-13,        +1.738024689651e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.042805151798e-13,        +1.735536651137e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.012538174757e-13,        +1.731128008179e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.10000000e+01,        +2.035540298889e-13,        +1.718713051780e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.006290966278e-13,        +1.714478728956e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.039843420927e-13,        +1.712302119129e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.009394673092e-13,        +1.708203218203e-13,        +0.000000000000e+00,        +0.000000000000e+00
 2.60000000e+01,        +2.033113709744e-13,        +1.701040982383e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.003877868243e-13,        +1.696915915458e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.038804767707e-13,        +1.694345392785e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.008221063014e-13,        +1.690464243709e-13,        +0.000000000000e+00,        +0.000000000000e+00
 3.10000000e+01,        +2.031453565363e-13,        +1.688065117950e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.002257122972e-13,        +1.683977371340e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.038679925918e-13,        +1.680517778549e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.007978661930e-13,        +1.676801236780e-13,        +0.000000000000e+00,        +0.000000000000e+00
 3.60000000e+01,        +2.030123983571e-13,        +1.678576951095e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.000981756970e-13,        +1.674475925882e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.039080102895e-13,        +1.669743985821e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.008266897212e-13,        +1.666160592016e-13,        +0.000000000000e+00,        +0.000000000000e+00
 4.10000000e+01,        +2.028936062402e-13,        +1.671654817078e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.999858448668e-13,        +1.667501975194e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.039828241025e-13,        +1.661175883559e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.008903088409e-13,        +1.657706630071e-13,        +0.000000000000e+00,        +0.000000000000e+00
 4.60000000e+01,        +2.027798524680e-13,        +1.666639599464e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.998793999956e-13,        +1.662403364153e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.040833273401e-13,        +1.654197450320e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.009793198651e-13,        +1.650830561122e-13,        +0.000000000000e+00,        +0.000000000000e+00
 5.10000000e+01,        +2.026663391759e-13,        +1.663070891959e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.997739537951e-13,        +1.658723828046e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.042043821964e-13,        +1.648374966466e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.010884190311e-13,        +1.645102957754e-13,        +0.000000000000e+00,        +0.000000000000e+00
 5.60000000e+01,        +2.025503663606e-13,        +1.660627712570e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.996667625569e-13,        +1.656144953795e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.043428705555e-13,        +1.643404801085e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.012143929535e-13,        +1.640222821252e-13,        +0.000000000000e+00,        +0.000000000000e+00
 6.10000000e+01,        +2.024303238174e-13,        +1.659084194192e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.995561943285e-13,        +1.654442552900e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.044967838842e-13,        +1.639072884308e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.013551783443e-13,        +1.635977764938e-13,        +0.000000000000e+00,        +0.000000000000e+00
 6.60000000e+01,        +2.023052004768e-13,        +1.658278983127e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.994412276405e-13,        +1.653456437051e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.046647613203e-13,        +1.635226236064e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.015093839289e-13,        +1.632215939735e-13,        +0.000000000000e+00,        +0.000000000000e+00
 7.10000000e+01,        +2.021743308191e-13,        +1.658094722419e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.993211928571e-13,        +1.653070113170e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.048458384432e-13,        +1.631753703922e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.016760301276e-13,        +1.628826996144e-13,        +0.000000000000e+00,        +0.000000000000e+00
 7.60000000e+01,        +2.020372572384e-13,        +1.658444400747e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.991956319541e-13,        +1.653197253329e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.050393024625e-13,        +1.628573079575e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.018543989632e-13,        +1.625729329367e-13,        +0.000000000000e+00,        +0.000000000000e+00
 8.10000000e+01,        +2.018936522003e-13,        +1.659262238179e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.990642192630e-13,        +1.653772651038e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.052446045989e-13,        +1.625622470246e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.020439432887e-13,        +1.622861525873e-13,        +0.000000000000e+00,        +0.000000000000e+00
 8.60000000e+01,        +2.017432726024e-13,        +1.660497543936e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.989267150078e-13,        +1.654746121001e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.054613049058e-13,        +1.622854472975e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.022442296796e-13,        +1.620176582531e-13,        +0.000000000000e+00,        +0.000000000000e+00
 9.10000000e+01,        +2.015859321158e-13,        +1.662110524730e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.987829371386e-13,        +1.656078333106e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.056890363732e-13,        +1.620232194720e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.024549013282e-13,        +1.617637954179e-13,        +0.000000000000e+00,        +0.000000000000e+00
 9.60000000e+01,        +2.014214838840e-13,        +1.664069383249e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.986327437044e-13,        +1.657737927143e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.059274809543e-13,        +1.617726495609e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.026756532855e-13,        +1.615216814289e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.01000000e+02,        +2.012498093597e-13,        +1.666348279778e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.984760214754e-13,        +1.659699485195e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.061763532084e-13,        +1.615314050801e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.029062155728e-13,        +1.612890128374e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.06000000e+02,        +2.010708108829e-13,        +1.668925879397e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.983126783798e-13,        +1.661942086455e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.064353889328e-13,        +1.612975966685e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.031463414307e-13,        +1.610639278199e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.11000000e+02,        +2.008844066177e-13,        +1.671784302862e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.981426383515e-13,        +1.664448263832e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.067043371337e-13,        +1.610696777057e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.033957989911e-13,        +1.608449063684e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.16000000e+02,        +2.006905270425e-13,        +1.674908360537e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.979658377678e-13,        +1.667203242392e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.069829542685e-13,        +1.608463702709e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.036543652683e-13,        +1.606306966431e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.21000000e+02,        +2.004891125276e-13,        +1.678284987954e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.977822230039e-13,        +1.670194378353e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.072710000731e-13,        +1.606266095258e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.039218217639e-13,        +1.604202595711e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.26000000e+02,        +2.002801117322e-13,        +1.681902826261e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.975917488249e-13,        +1.673410741778e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.075682345336e-13,        +1.604095010793e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.041979512463e-13,        +1.602127262264e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.31000000e+02,        +2.000634806490e-13,        +1.685751906060e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.973943774339e-13,        +1.676842801129e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.078744157408e-13,        +1.601942875887e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.044825354565e-13,        +1.600073642190e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.36000000e+02,        +1.998391821566e-13,        +1.689823402551e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.971900780231e-13,        +1.680482177343e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.081892984696e-13,        +1.599803220969e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.047753536087e-13,        +1.598035506059e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.41000000e+02,        +1.996071859127e-13,        +1.694109436688e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.969788266481e-13,        +1.684321442174e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.085126333809e-13,        +1.597670465535e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.050761816056e-13,        +1.596007498478e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.46000000e+02,        +1.993674683880e-13,        +1.698602903687e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.967606062153e-13,        +1.688353942779e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.088441667337e-13,        +1.595539746712e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.053847918593e-13,        +1.593984961095e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.51000000e+02,        +1.991200128290e-13,        +1.703297318162e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.965354063726e-13,        +1.692573642923e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.091836404517e-13,        +1.593406786658e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.057009535397e-13,        +1.591963796323e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.56000000e+02,        +1.988648089992e-13,        +1.708186673371e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.963032231599e-13,        +1.696974979597e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.095307923514e-13,        +1.591267795028e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.060244330034e-13,        +1.589940369485e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.61000000e+02,        +1.986018526579e-13,        +1.713265318291e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.960640584003e-13,        +1.701552739678e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.098853563391e-13,        +1.589119401044e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.063549941502e-13,        +1.587911444228e-13,        +0.000000000000e+00,        +0.000000000000e+00
 1.66000000e+02,        +1.983311448628e-13,        +1.718527858149e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +1.958179189321e-13,        +1.706301962420e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.102470624553e-13,        +1.586958607340e-13,        +0.000000000000e+00,        +0.000000000000e+00,        +2.066923985375e-13,        +1.585874142545e-13,        +0.000000000000e+00,        +0.000000000000e+00
