        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[3][1]| (dB),        arg(S[3][1]) (deg.),             |S[4][1]| (dB),        arg(S[4][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.),             |S[3][2]| (dB),        arg(S[3][2]) (deg.),             |S[4][2]| (dB),        arg(S[4][2]) (deg.),             |S[1][3]| (dB),        arg(S[1][3]) (deg.),             |S[2][3]| (dB),        arg(S[2][3]) (deg.),             |S[3][3]| (dB),        arg(S[3][3]) (deg.),             |S[4][3]| (dB),        arg(S[4][3]) (deg.),             |S[1][4]| (dB),        arg(S[1][4]) (deg.),             |S[2][4]| (dB),        arg(S[2][4]) (deg.),             |S[3][4]| (dB),        arg(S[3][4]) (deg.),             |S[4][4]| (dB),        arg(S[4][4]) (deg.)
 1.00000000e+00,        -4.647328735729e+01,        +5.898276716729e-01,        -6.162692237547e+01,        +1.430779471710e+01,        -4.191447142964e-02,        -1.615588232957e-01,        -6.202701770833e+01,        +1.779572335992e+02,        -6.162692237353e+01,        +1.430779470152e+01,        -4.648806145278e+01,        +6.037588151171e-01,        -6.202697507531e+01,        +1.779569853781e+02,        -4.187155629299e-02,        -1.599467399552e-01,        -4.191447142963e-02,        -1.615588232962e-01,        -6.202697507265e+01,        +1.779569853665e+02,        -4.646831761858e+01,        +5.617424823120e-01,        -6.161545427156e+01,        +1.470172436555e+01,        -6.202701770323e+01,        +1.779572335958e+02,        -4.187155629317e-02,        -1.599467399550e-01,        -6.161545427597e+01,        +1.470172437813e+01,        -4.648356525204e+01,        +5.801551516261e-01
 6.00000000e+00,        -4.601121709332e+01,        -5.937022171576e+00,        -5.666448001974e+01,        +4.846045342214e+01,        -4.874946699505e-02,        -8.736329458979e-01,        -6.124047685894e+01,        +1.692246473310e+02,        -5.666448001967e+01,        +4.846045342106e+01,        -4.606843325850e+01,        -5.104262321468e+00,        -6.123847978439e+01,        +1.692591366547e+02,        -4.866412049941e-02,        -8.656539244431e-01,        -4.874946699504e-02,        -8.736329458980e-01,        -6.123847978408e+01,        +1.692591366541e+02,        -4.583623789211e+01,        -5.804666664644e+00,        -5.659806063078e+01,        +5.008238950829e+01,        -6.124047685928e+01,        +1.692246473318e+02,        -4.866412049941e-02,        -8.656539244424e-01,        -5.659806063077e+01,        +5.008238950674e+01,        -4.590650745470e+01,        -4.955450529773e+00
 1.10000000e+01,        -4.549943073351e+01,        -1.209005928666e+01,        -5.313168915566e+01,        +5.865684623551e+01,        -5.310902917187e-02,        -1.568435604870e+00,        -6.000038340798e+01,        +1.591043553820e+02,        -5.313168915578e+01,        +5.865684623577e+01,        -4.558509505334e+01,        -1.052265881326e+01,        -5.999446203322e+01,        +1.591345244149e+02,        -5.298417254264e-02,        -1.553897365619e+00,        -5.310902917188e-02,        -1.568435604870e+00,        -5.999446203334e+01,        +1.591345244133e+02,        -4.498123032353e+01,        -1.172471982390e+01,        -5.305466577313e+01,        +6.135159553293e+01,        -6.000038340783e+01,        +1.591043553838e+02,        -5.298417254264e-02,        -1.553897365619e+00,        -5.305466577326e+01,        +6.135159553326e+01,        -4.509955216449e+01,        -1.021562618303e+01
 1.60000000e+01,        -4.484935514805e+01,        -1.937286857003e+01,        -5.061502263450e+01,        +6.294839054694e+01,        -5.716960963057e-02,        -2.254963255714e+00,        -5.858117440915e+01,        +1.491840671076e+02,        -5.061502263453e+01,        +6.294839054689e+01,        -4.497590778397e+01,        -1.721424057209e+01,        -5.857285079631e+01,        +1.492144038803e+02,        -5.699300487128e-02,        -2.234012495514e+00,        -5.716960963057e-02,        -2.254963255714e+00,        -5.857285079629e+01,        +1.492144038799e+02,        -4.392003901580e+01,        -1.805497607581e+01,        -5.053189853623e+01,        +6.678150125683e+01,        -5.858117440913e+01,        +1.491840671081e+02,        -5.699300487129e-02,        -2.234012495514e+00,        -5.053189853626e+01,        +6.678150125690e+01,        -4.409810267350e+01,        -1.612291688778e+01
 2.10000000e+01,        -4.418801207641e+01,        -2.724120696695e+01,        -4.869870528889e+01,        +6.513183298780e+01,        -6.076593524809e-02,        -2.935041360866e+00,        -5.720099210269e+01,        +1.403532732838e+02,        -4.869870528884e+01,        +6.513183298786e+01,        -4.436866038920e+01,        -2.462494940505e+01,        -5.719081507631e+01,        +1.403927717578e+02,        -6.053922670128e-02,        -2.907776042109e+00,        -6.076593524810e-02,        -2.935041360866e+00,        -5.719081507636e+01,        +1.403927717586e+02,        -4.282192355264e+01,        -2.412846361722e+01,        -4.860522722987e+01,        +7.010511686417e+01,        -5.720099210263e+01,        +1.403532732833e+02,        -6.053922670129e-02,        -2.907776042109e+00,        -4.860522722983e+01,        +7.010511686420e+01,        -4.306301511561e+01,        -2.196684180869e+01
 2.60000000e+01,        -4.353939741195e+01,        -3.515715203486e+01,        -4.714581987744e+01,        +6.635481027182e+01,        -6.383553080292e-02,        -3.611332330894e+00,        -5.592216986172e+01,        +1.328614598758e+02,        -4.714581987741e+01,        +6.635481027171e+01,        -4.378300146343e+01,        -3.220587741882e+01,        -5.591042516137e+01,        +1.329157802751e+02,        -6.356224280153e-02,        -3.577798627032e+00,        -6.383553080292e-02,        -3.611332330894e+00,        -5.591042516135e+01,        +1.329157802757e+02,        -4.174954040928e+01,        -2.951349023161e+01,        -4.704067905913e+01,        +7.245164401117e+01,        -5.592216986170e+01,        +1.328614598755e+02,        -6.356224280153e-02,        -3.577798627032e+00,        -4.704067905911e+01,        +7.245164401115e+01,        -4.204957137526e+01,        -2.726056931270e+01
 3.10000000e+01,        -4.290005061992e+01,        -4.283423415190e+01,        -4.583260491855e+01,        +6.701668234629e+01,        -6.646023702757e-02,        -4.285691791087e+00,        -5.475355269711e+01,        +1.265874694653e+02,        -4.583260491856e+01,        +6.701668234636e+01,        -4.321054883522e+01,        -3.965912541892e+01,        -5.474044479355e+01,        +1.266595347272e+02,        -6.614260675408e-02,        -4.245908154982e+00,        -6.646023702757e-02,        -4.285691791087e+00,        -5.474044479355e+01,        +1.266595347268e+02,        -4.072423454491e+01,        -3.409722005083e+01,        -4.571616121865e+01,        +7.422320330626e+01,        -5.475355269708e+01,        +1.265874694652e+02,        -6.614260675409e-02,        -4.245908154982e+00,        -4.571616121864e+01,        +7.422320330626e+01,        -4.107562652919e+01,        -3.184226995770e+01
 3.60000000e+01,        -4.226420408125e+01,        -5.014644016602e+01,        -4.469093157962e+01,        +6.729732425783e+01,        -6.875245653059e-02,        -4.959141754970e+00,        -5.368755562703e+01,        +1.213096563615e+02,        -4.469093157961e+01,        +6.729732425781e+01,        -4.264141124469e+01,        -4.684481338554e+01,        -5.367323709805e+01,        +1.214007531521e+02,        -6.839124773832e-02,        -4.913113794419e+00,        -6.875245653059e-02,        -4.959141754970e+00,        -5.367323709805e+01,        +1.214007531523e+02,        -3.975219200432e+01,        -3.792792874687e+01,        -4.456403114004e+01,        +7.560489468837e+01,        -5.368755562707e+01,        +1.213096563615e+02,        -6.839124773833e-02,        -4.913113794419e+00,        -4.456403114005e+01,        +7.560489468831e+01,        -4.014664375198e+01,        -3.572386869775e+01
 4.10000000e+01,        -4.162885803951e+01,        -5.705055772576e+01,        -4.367965898973e+01,        +6.729938483036e+01,        -7.080792978321e-02,        -5.632193237632e+00,        -5.271257055848e+01,        +1.168159461844e+02,        -4.367965898972e+01,        +6.729938483046e+01,        -4.206958556123e+01,        -5.370387775448e+01,        -5.269715135484e+01,        +1.169264646077e+02,        -7.040285736636e-02,        -5.579920492890e+00,        -7.080792978321e-02,        -5.632193237632e+00,        -5.269715135488e+01,        +1.169264646076e+02,        -3.883358768842e+01,        -4.110970607388e+01,        -4.354312542376e+01,        +7.670327916568e+01,        -5.271257055847e+01,        +1.168159461849e+02,        -7.040285736637e-02,        -5.579920492890e+00,        -4.354312542378e+01,        +7.670327916583e+01,        -3.926344755973e+01,        -3.898519522544e+01
 4.60000000e+01,        -4.099352364752e+01,        -6.354357629824e+01,        -4.277168325752e+01,        +6.709038363008e+01,        -7.269735259887e-02,        -6.305092623373e+00,        -5.181699566945e+01,        +1.129332445586e+02,        -4.277168325753e+01,        +6.709038363000e+01,        -4.149264894487e+01,        -6.021692765168e+01,        -5.180055197888e+01,        +1.130631044294e+02,        -7.224746493392e-02,        -6.246571244446e+00,        -7.269735259886e-02,        -6.305092623373e+00,        -5.180055197882e+01,        +1.130631044294e+02,        -3.796603047696e+01,        -4.375345569500e+01,        -4.262615629229e+01,        +7.758828677660e+01,        -5.181699566943e+01,        +1.129332445586e+02,        -7.224746493392e-02,        -6.246571244446e+00,        -4.262615629228e+01,        +7.758828677661e+01,        -3.842477949622e+01,        -4.172199975790e+01
