        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            Re{V[3][1]} (V),            Im{V[3][1]} (V),            Re{V[4][1]} (V),            Im{V[4][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V),            Re{V[3][2]} (V),            Im{V[3][2]} (V),            Re{V[4][2]} (V),            Im{V[4][2]} (V),            V_inc[3][3] (V),            Re{V[1][3]} (V),            Im{V[1][3]} (V),            Re{V[2][3]} (V),            Im{V[2][3]} (V),            Re{V[3][3]} (V),            Im{V[3][3]} (V),            Re{V[4][3]} (V),            Im{V[4][3]} (V),            V_inc[4][4] (V),            Re{V[1][4]} (V),            Im{V[1][4]} (V),            Re{V[2][4]} (V),            Im{V[2][4]} (V),            Re{V[3][4]} (V),            Im{V[3][4]} (V),            Re{V[4][4]} (V),            Im{V[4][4]} (V)
 1.00000000e+00,        +7.071067811865e+00,        +7.104625931783e+00,        +3.454740845261e-04,        +5.681390577822e-03,        +1.448991462047e-03,        +7.037000017040e+00,        -1.984251658765e-02,        -5.595746535515e-03,        +1.995897244286e-04,        +7.071067811865e+00,        +5.681390579485e-03,        +1.448991460826e-03,        +7.104568815419e+00,        +3.530325456968e-04,        -5.595773136496e-03,        +1.996149465099e-04,        +7.037035340958e+00,        -1.964461946625e-02,        +7.071067811865e+00,        +7.037000017040e+00,        -1.984251658772e-02,        -5.595773138166e-03,        +1.996149477068e-04,        +7.104645303376e+00,        +3.292128664836e-04,        +5.678786859344e-03,        +1.489984515542e-03,        +7.071067811865e+00,        -5.595746538786e-03,        +1.995897248815e-04,        +7.037035340958e+00,        -1.964461946623e-02,        +5.678786856132e-03,        +1.489984516033e-03,        +7.104586304177e+00,        +3.394070342800e-04
 6.00000000e+00,        +7.071067811865e+00,        +7.106271519392e+00,        -3.660940927585e-03,        +6.884369186182e-03,        +7.770549936782e-03,        +7.030675301341e+00,        -1.072104382423e-01,        -6.021923905694e-03,        +1.146058881848e-03,        +7.071067811865e+00,        +6.884369186385e-03,        +7.770549936715e-03,        +7.106089550194e+00,        -3.128232967288e-03,        -6.023997575945e-03,        +1.142696464274e-03,        +7.030759246360e+00,        -1.062323878105e-01,        +7.071067811865e+00,        +7.030675301341e+00,        -1.072104382423e-01,        -6.023997576148e-03,        +1.142696464379e-03,        +7.106996430738e+00,        -3.652452574552e-03,        +6.712806480261e-03,        +8.023413811924e-03,        +7.071067811865e+00,        -6.021923905472e-03,        +1.146058881715e-03,        +7.030759246360e+00,        -1.062323878104e-01,        +6.712806480488e-03,        +8.023413811755e-03,        +7.106756720403e+00,        -3.094415032707e-03
 1.10000000e+01,        +7.071067811865e+00,        +7.107776781910e+00,        -7.863059876649e-03,        +8.110350102840e-03,        +1.331657802288e-02,        +7.025331305448e+00,        -1.923620378938e-01,        -6.605723327338e-03,        +2.521905107261e-03,        +7.071067811865e+00,        +8.110350102670e-03,        +1.331657802274e-02,        +7.107615886655e+00,        -6.788736564776e-03,        -6.611556034920e-03,        +2.520143976894e-03,        +7.025480877366e+00,        -1.905821626871e-01,        +7.071067811865e+00,        +7.025331305448e+00,        -1.923620378938e-01,        -6.611556034757e-03,        +2.520143977033e-03,        +7.110085915903e+00,        -8.097818480050e-03,        +7.541886977495e-03,        +1.380503674920e-02,        +7.071067811865e+00,        -6.605723327534e-03,        +2.521905107096e-03,        +7.025480877366e+00,        -1.905821626871e-01,        +7.541886977302e-03,        +1.380503674904e-02,        +7.109755028769e+00,        -6.971822229122e-03
 1.60000000e+01,        +7.071067811865e+00,        +7.109236201462e+00,        -1.342089975145e-02,        +9.474308908395e-03,        +1.855304550600e-02,        +7.019239927884e+00,        -2.763956713350e-01,        -7.150347589240e-03,        +4.265158046956e-03,        +7.071067811865e+00,        +9.474308908384e-03,        +1.855304550593e-02,        +7.109155632692e+00,        -1.180052448345e-02,        -7.159462452681e-03,        +4.265457100481e-03,        +7.019483246702e+00,        -2.738345670733e-01,        +7.071067811865e+00,        +7.019239927884e+00,        -2.763956713350e-01,        -7.159462452669e-03,        +4.265457100540e-03,        +7.113878652733e+00,        -1.395551384393e-02,        +8.291808597021e-03,        +1.932900130421e-02,        +7.071067811865e+00,        -7.150347589289e-03,        +4.265158046905e-03,        +7.019483246702e+00,        -2.738345670733e-01,        +8.291808596971e-03,        +1.932900130416e-02,        +7.113447061672e+00,        -1.225050685036e-02
 2.10000000e+01,        +7.071067811865e+00,        +7.109885427352e+00,        -1.998484883286e-02,        +1.092316724859e-02,        +2.356622506379e-02,        +7.012560744797e+00,        -3.595409339373e-01,        -7.514883561311e-03,        +6.227182289231e-03,        +7.071067811865e+00,        +1.092316724863e-02,        +2.356622506393e-02,        +7.109940271826e+00,        -1.781768089822e-02,        -7.527989841014e-03,        +6.229294636397e-03,        +7.012914085563e+00,        -3.562131263113e-01,        +7.071067811865e+00,        +7.012560744797e+00,        -3.595409339373e-01,        -7.527989841060e-03,        +6.229294636256e-03,        +7.117699822613e+00,        -2.088731411539e-02,        +8.934699345082e-03,        +2.468872322800e-02,        +7.071067811865e+00,        -7.514883561302e-03,        +6.227182289337e-03,        +7.012914085563e+00,        -3.562131263112e-01,        +8.934699345104e-03,        +2.468872322810e-02,        +7.117157266378e+00,        -1.859032873104e-02
 2.60000000e+01,        +7.071067811865e+00,        +7.109530809824e+00,        -2.708960537088e-02,        +1.245707201522e-02,        +2.845192242727e-02,        +7.005352370858e+00,        -4.421304791802e-01,        -7.691853316517e-03,        +8.288593708575e-03,        +7.071067811865e+00,        +1.245707201532e-02,        +2.845192242735e-02,        +7.109773641862e+00,        -2.437990735284e-02,        -7.710126292418e-03,        +8.292502772248e-03,        +7.005830362373e+00,        -4.380441384494e-01,        +7.071067811865e+00,        +7.005352370858e+00,        -4.421304791802e-01,        -7.710126292523e-03,        +8.292502772183e-03,        +7.121376951356e+00,        -2.847918058189e-02,        +9.478806048197e-03,        +2.997469782000e-02,        +7.071067811865e+00,        -7.691853316493e-03,        +8.288593708626e-03,        +7.005830362373e+00,        -4.380441384494e-01,        +9.478806048225e-03,        +2.997469782005e-02,        +7.120712786997e+00,        -2.558043065961e-02
 3.10000000e+01,        +7.071067811865e+00,        +7.108202367608e+00,        -3.442821228599e-02,        +1.410700270954e-02,        +3.326093795083e-02,        +6.997548651537e+00,        -5.243910142590e-01,        -7.710624232514e-03,        +1.038710942439e-02,        +7.071067811865e+00,        +1.410700270947e-02,        +3.326093795078e-02,        +7.108683284704e+00,        -3.118366325673e-02,        -7.735347421409e-03,        +1.039307536624e-02,        +6.998166986445e+00,        -5.195511011514e-01,        +7.071067811865e+00,        +6.997548651537e+00,        -5.243910142590e-01,        -7.735347421350e-03,        +1.039307536630e-02,        +7.124938127793e+00,        -3.646913410633e-02,        +9.955682929277e-03,        +3.523709888590e-02,        +7.071067811865e+00,        -7.710624232524e-03,        +1.038710942444e-02,        +6.998166986445e+00,        -5.195511011514e-01,        +9.955682929284e-03,        +3.523709888594e-02,        +7.124140239134e+00,        -3.296053020514e-02
 3.60000000e+01,        +7.071067811865e+00,        +7.105983130644e+00,        -4.182709946530e-02,        +1.590261276170e-02,        +3.801143320426e-02,        +6.989057111368e+00,        -6.064414569566e-01,        -7.600271554617e-03,        +1.249550613181e-02,        +7.071067811865e+00,        +1.590261276173e-02,        +3.801143320429e-02,        +7.106750352827e+00,        -3.805765356353e-02,        -7.632701033347e-03,        +1.250400201195e-02,        +6.989832705494e+00,        -6.008516628298e-01,        +7.071067811865e+00,        +6.989057111368e+00,        -6.064414569566e-01,        -7.632701033382e-03,        +1.250400201193e-02,        +7.128457491733e+00,        -4.472159178630e-02,        +1.039434304103e-02,        +4.049765571444e-02,        +7.071067811865e+00,        -7.600271554592e-03,        +1.249550613175e-02,        +6.989832705494e+00,        -6.008516628298e-01,        +1.039434304107e-02,        +4.049765571438e-02,        +7.127512548757e+00,        -4.059532433821e-02
 4.10000000e+01,        +7.071067811865e+00,        +7.102950885767e+00,        -4.919060100620e-02,        +1.786466094643e-02,        +4.270555873791e-02,        +6.979799289667e+00,        -6.883350222271e-01,        -7.381664050989e-03,        +1.460311077742e-02,        +7.071067811865e+00,        +1.786466094637e-02,        +4.270555873797e-02,        +7.104051337995e+00,        -4.490799963218e-02,        -7.422983995364e-03,        +1.461476619035e-02,        +6.980749918960e+00,        -6.819986505868e-01,        +7.071067811865e+00,        +6.979799289667e+00,        -6.883350222271e-01,        -7.422983995308e-03,        +1.461476619031e-02,        +7.132002026699e+00,        -5.317448412751e-02,        +1.081546788850e-02,        +4.576434784281e-02,        +7.071067811865e+00,        -7.381664051127e-03,        +1.460311077737e-02,        +6.980749918960e+00,        -6.819986505868e-01,        +1.081546788837e-02,        +4.576434784273e-02,        +7.130896029831e+00,        -4.842234452897e-02
 4.60000000e+01,        +7.071067811865e+00,        +7.099165665191e+00,        -5.646307538310e-02,        +2.000604851339e-02,        +4.733878319727e-02,        +6.969717830983e+00,        -7.700910586088e-01,        -7.068369442798e-03,        +1.670612539331e-02,        +7.071067811865e+00,        +2.000604851343e-02,        +4.733878319716e-02,        +7.100645353326e+00,        -5.168069788651e-02,        -7.119681266160e-03,        +1.672168887962e-02,        +6.970861807237e+00,        -7.630113721909e-01,        +7.071067811865e+00,        +6.969717830983e+00,        -7.700910586088e-01,        -7.119681266201e-03,        +1.672168887974e-02,        +7.135620520969e+00,        -6.180323710586e-02,        +1.123270375123e-02,        +5.103951259682e-02,        +7.071067811865e+00,        -7.068369442808e-03,        +1.670612539335e-02,        +6.970861807237e+00,        -7.630113721909e-01,        +1.123270375123e-02,        +5.103951259685e-02,        +7.134339233390e+00,        -5.641637469442e-02
