run,corner,temperature,vdd,time,vo_diff,amplitude
run_00,tt,-40,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.111e-01, -1.870e-01, -3.563e-02, …]",0.382
run_01,ff,-40,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.099e-01, -1.895e-01, -4.060e-02, …]",0.377
run_02,ss,-40,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.163e-01, -1.876e-01, -3.217e-02, …]",0.390
run_03,tt,27,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.915e-01, -1.780e-01, -3.803e-02, …]",0.357
run_04,ff,27,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.909e-01, -1.806e-01, -4.276e-02, …]",0.353
run_05,ss,27,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.959e-01, -1.792e-01, -3.599e-02, …]",0.366
run_06,tt,80,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.689e-01, -1.692e-01, -4.423e-02, …]",0.319
run_07,ff,80,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.694e-01, -1.722e-01, -4.907e-02, …]",0.315
run_08,ss,80,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.723e-01, -1.701e-01, -4.252e-02, …]",0.330
run_09,tt,-40,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.623e-01, -1.963e-01, -5.713e-03, …]",0.421
run_10,ff,-40,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.622e-01, -1.984e-01, -1.024e-02, …]",0.418
run_11,ss,-40,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.669e-01, -1.979e-01, -3.070e-03, …]",0.429
run_12,tt,27,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.388e-01, -1.852e-01, -4.985e-03, …]",0.401
run_13,ff,27,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.407e-01, -1.880e-01, -9.263e-03, …]",0.398
run_14,ss,27,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.446e-01, -1.889e-01, -5.355e-03, …]",0.409
run_15,tt,80,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.832e-01, -1.548e-01, 2.955e-03, …]",0.371
run_16,ff,80,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.908e-01, -1.609e-01, -2.321e-03, …]",0.368
run_17,ss,80,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.858e-01, -1.573e-01, 2.540e-03, …]",0.379
run_18,tt,-40,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.214e-01, -1.558e-01, 3.477e-02, …]",0.418
run_19,ff,-40,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.163e-01, -1.529e-01, 3.475e-02, …]",0.415
run_20,ss,-40,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-3.365e-01, -1.657e-01, 3.100e-02, …]",0.426
run_21,tt,27,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.748e-01, -1.328e-01, 3.931e-02, …]",0.400
run_22,ff,27,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.701e-01, -1.295e-01, 4.028e-02, …]",0.397
run_23,ss,27,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.957e-01, -1.475e-01, 3.197e-02, …]",0.408
run_24,tt,80,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-1.909e-01, -9.049e-02, 3.946e-02, …]",0.365
run_25,ff,80,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-1.879e-01, -8.812e-02, 4.047e-02, …]",0.363
run_26,ss,80,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-2.136e-01, -1.054e-01, 3.486e-02, …]",0.373
