run,corner,temperature,vdd,time,vo_diff,frequency,amplitude,voltage_swing
run_00,tt,-40,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.417, 0.566, 0.643, …]",5.902e+09,0.652,1.304
run_01,ff,-40,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.388, 0.541, 0.624, …]",5.902e+09,0.636,1.273
run_02,ss,-40,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.437, 0.584, 0.658, …]",5.902e+09,0.666,1.331
run_03,tt,27,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.379, 0.531, 0.612, …]",5.902e+09,0.623,1.246
run_04,ff,27,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.353, 0.507, 0.592, …]",5.902e+09,0.606,1.211
run_05,ss,27,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.390, 0.545, 0.627, …]",5.902e+09,0.638,1.277
run_06,tt,80,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.327, 0.482, 0.573, …]",5.902e+09,0.591,1.182
run_07,ff,80,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.305, 0.459, 0.552, …]",5.902e+09,0.573,1.145
run_08,ss,80,0.8,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.333, 0.492, 0.587, …]",5.902e+09,0.609,1.217
run_09,tt,-40,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.567, 0.586, 0.501, …]",5.902e+09,0.592,1.184
run_10,ff,-40,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.543, 0.589, 0.533, …]",5.902e+09,0.589,1.178
run_11,ss,-40,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.583, 0.581, 0.475, …]",5.902e+09,0.592,1.183
run_12,tt,27,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.556, 0.565, 0.480, …]",5.902e+09,0.574,1.148
run_13,ff,27,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.537, 0.567, 0.503, …]",5.902e+09,0.568,1.136
run_14,ss,27,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.569, 0.568, 0.470, …]",5.902e+09,0.582,1.163
run_15,tt,80,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.534, 0.545, 0.467, …]",5.902e+09,0.553,1.105
run_16,ff,80,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.518, 0.543, 0.480, …]",5.902e+09,0.544,1.089
run_17,ss,80,1.2,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[0.546, 0.554, 0.470, …]",5.902e+09,0.564,1.127
run_18,tt,-40,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-5.311e-01, -5.593e-01, -4.797e-01, …]",5.902e+09,0.563,1.127
run_19,ff,-40,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-5.156e-01, -5.591e-01, -4.970e-01, …]",5.902e+09,0.562,1.124
run_20,ss,-40,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-5.458e-01, -5.643e-01, -4.724e-01, …]",5.902e+09,0.572,1.144
run_21,tt,27,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-4.968e-01, -5.441e-01, -4.869e-01, …]",5.902e+09,0.547,1.094
run_22,ff,27,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-4.848e-01, -5.392e-01, -4.922e-01, …]",5.902e+09,0.544,1.087
run_23,ss,27,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-5.032e-01, -5.559e-01, -4.999e-01, …]",5.902e+09,0.558,1.116
run_24,tt,80,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-4.328e-01, -5.105e-01, -4.919e-01, …]",5.902e+09,0.527,1.054
run_25,ff,80,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-4.235e-01, -5.023e-01, -4.882e-01, …]",5.902e+09,0.520,1.041
run_26,ss,80,1.6,"[1.628e-10, 1.728e-10, 1.828e-10, …]","[-4.324e-01, -5.218e-01, -5.130e-01, …]",5.902e+09,0.539,1.078
